title,authors,series,genres,publish_date,publisher,pages,identifier,summary,cover_url,cover
Cruden's Complete Concordance to the Old and New Testaments,Alexander Cruden,12,bvnnbbn; jvjhvkvk,"September 1, 1988",Hendrickson Publishers,800,0917006313,,https://covers.openlibrary.org/b/id/706828-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\1.jpg
The Treasury of Scripture knowledge,John Canne,12,bvnnbbn; jvjhvkvk,1982,MacDonald Pub. Co.,590,0917006224,,https://covers.openlibrary.org/b/id/706822-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\2.jpg
Cruden's complete concordance to the Old and New Testaments,Alexander Cruden,12,bvnnbbn; jvjhvkvk,1979,Lutterworth Press,783,0718802020,,https://covers.openlibrary.org/b/id/11613015-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\3.jpg
Cruden's complete concordance to the Old and New Testaments,Alexander Cruden,12,bvnnbbn; jvjhvkvk,1979,Lutterworth Press,783,0718802020,,https://covers.openlibrary.org/b/id/11613015-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\4.jpg
Cruden's complete concordance to the Old and New Testaments,Alexander Cruden,12,bvnnbbn; jvjhvkvk,1979,Lutterworth Press,783,0718802020,,https://covers.openlibrary.org/b/id/11613015-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\5.jpg
Cruden's complete concordance to the Old and New Testaments,Alexander Cruden,12,bvnnbbn; jvjhvkvk,1979,Lutterworth Press,783,0718802020,,https://covers.openlibrary.org/b/id/11613015-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\6.jpg
Cruden's complete concordance to the Old and New Testaments,Alexander Cruden,12,bvnnbbn; jvjhvkvk,1979,Lutterworth Press,783,0718802020,,https://covers.openlibrary.org/b/id/11613015-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\7.jpg
Cruden's complete concordance to the Old and New Testaments,Alexander Cruden,12,bvnnbbn; jvjhvkvk,1930,Lutterworth,783,0718802047,,https://covers.openlibrary.org/b/id/9531447-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\8.jpg
NIV Handy Concordance,Edward W. Goodrick,12,bvnnbbn; jvjhvkvk,"September 1, 1985",Hodder & Stoughton Religious,310,0340383135,,https://covers.openlibrary.org/b/id/11081881-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\9.jpg
Holman Bible concordance,Holman Bible Staff,12,bvnnbbn; jvjhvkvk,1979,Holman Bible Publishers,202,0879810939,,https://covers.openlibrary.org/b/id/7018176-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\10.jpg
Cruden's Complete Concordance,Alexander Cruden,12,bvnnbbn; jvjhvkvk,"February 1, 1999",Zondervan,816,0310229200,,https://covers.openlibrary.org/b/id/169958-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\11.jpg
New International Bible concordance,Edward W. Goodrick,12,bvnnbbn; jvjhvkvk,1998,Zondervan Pub. House,1044,0310229022,,https://covers.openlibrary.org/b/id/169950-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\12.jpg
The Brown-Driver-Briggs Hebrew and English Lexicon,Francis Brown,12,bvnnbbn; jvjhvkvk,1996,Hendrickson Publishers,1184,1565632060,,https://covers.openlibrary.org/b/id/8645335-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\13.jpg
The Treasury of Scripture knowledge,John Canne,12,bvnnbbn; jvjhvkvk,1982,MacDonald Pub. Co.,590,0917006224,,https://covers.openlibrary.org/b/id/706822-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\14.jpg
Nelson's Super Value Series,James Strong,12,bvnnbbn; jvjhvkvk,"April 6, 2003",Thomas Nelson,1920,0785250557,,https://covers.openlibrary.org/b/id/536926-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\15.jpg
Strong's Concordance of the Bible,James Strong,12,bvnnbbn; jvjhvkvk,1980,T. Nelson,770,0840749864,,https://covers.openlibrary.org/b/id/8517957-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\16.jpg
Nelson's Super Value Series,James Strong,12,bvnnbbn; jvjhvkvk,"April 6, 2003",Thomas Nelson,1920,0785250557,,https://covers.openlibrary.org/b/id/536926-L.jpg,C:\Users\CABREL TSUANYO\Desktop\catalo\catalogage\17.jpg
